case_id,local_rank,strategy_name,strategy_id,runtime_ms,tflops,tbps,validated,expected_slice_size
bs16384_E256_es8_B5120x10240,0,row_major,0,0.33934377,2577.37821652,2.72370593,true,256
bs16384_E256_es8_B5120x10240,0,band_n_5_row_major,27,0.34458243,2538.19454088,2.68229765,true,256
bs16384_E256_es8_B5120x10240,0,band_n_8_row_major,21,0.34047384,2568.82358305,2.71466562,true,256
bs16384_E256_es8_B5120x10240,0,band_n_10_row_major,28,0.33920375,2578.44217167,2.72483029,true,256
bs16384_E256_es8_B5120x10240,0,band_n_20_row_major,29,0.33803356,2587.36809628,2.73426297,true,256
bs16384_E256_es8_B5120x10240,0,band_n_2_row_major,23,0.34300021,2549.90291806,2.69467075,true,256
