strategy,gpu__time_duration.sum,launch__registers_per_thread,launch__shared_mem_per_block_allocated,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio,smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio,smsp__warps_eligible.avg.per_cycle_active,smsp__issue_active.avg.per_cycle_active
row_major,479.00047058823526,128.0,226.56,35.704895117647055,73.87328129411765,82.74862282352942,0.5771731176470588,7.536683411764706,0.5275632352941176,0.33
band_n_20_row_major,480.8150588235294,128.0,226.56,34.01730229411765,73.6466414117647,82.49853917647059,0.5683444705882353,7.448359411764706,0.5288913529411765,0.33
