case_id,local_rank,strategy_name,strategy_id,runtime_ms,tflops,tbps,validated,expected_slice_size
bs16384_E256_es8_B5120x10240,0,row_major,0,0.33911568,2579.11173217,2.72553787,true,256
bs16384_E256_es8_B5120x10240,0,band_n_20_row_major,29,0.33726727,2593.24674810,2.74047538,true,256
bs16384_E256_es8_B5120x10240,0,band_n_20_grouped_m_4,30,0.33951633,2576.06826069,2.72232160,true,256
bs16384_E256_es8_B5120x10240,0,band_n_20_grouped_m_8,31,0.34038156,2569.52005204,2.71540163,true,256
bs16384_E256_es8_B5120x10240,0,band_n_20_grouped_m_16,32,0.34363464,2545.19520047,2.68969576,true,256
