batch,provider,block_m,row_subtile,ms
128,example,16,2,0.032623699231235606
128,reference,,,0.03305828799180485
256,example,16,2,0.032652828314434515
256,reference,,,0.0334418581318523
512,example,32,4,0.0337710290753262
512,reference,,,0.034110855184632145
1024,example,64,4,0.035829895666846315
1024,reference,,,0.03625998875408717
