batch_size,example_ms,reference_ms,speedup_pct
128,0.03289582401240637,0.0339286975371532,3.139831743862942
160,0.032977681240793005,0.034149169004880464,3.552365478741848
192,0.03293857105442735,0.03426543565896841,4.028300445543209
224,0.03299559054483894,0.03421880006790161,3.7071908787339236
256,0.03310364189147949,0.034060879945755004,2.891639709653515
320,0.033744250587795094,0.03491626672255687,3.4732320746387657
384,0.0340399444103241,0.03519023565145639,3.379239481905305
448,0.03383726103831146,0.03504058906906529,3.556221732578746
512,0.03395882322768535,0.03567727982997894,5.06041269678803
640,0.03650765299797058,0.03859224051237106,5.710001446864732
768,0.03579089781817268,0.03735351837598361,4.365971945575264
896,0.03565109372138977,0.03706497535472963,3.965885715566597
1024,0.03587025425650857,0.03721982415129499,3.762365009000579
1280,0.03562682079056562,0.037027434314169536,3.931345802190722
1536,0.03592988326486233,0.037334009496177115,3.9079621299186185
1792,0.04138339093301149,0.043703414754169743,5.60617138627848
2048,0.040325178938396905,0.04332847982645035,7.447706289515699
2560,0.03970651006310936,0.042684650975604393,7.500384465322152
3072,0.03998717216023227,0.04179679989814758,4.52552066113594
3584,0.0402049984552164,0.042163692376552486,4.871767184664466
4096,0.047095786730448404,0.05052217428500836,7.275358991603231
5120,0.05729009952020208,0.06262654341184176,9.314775041991163
6144,0.05317619043752688,0.058294399788505154,9.625001920721111
7168,0.053555408370829075,0.05860042132829365,9.420174564876493
8192,0.06971410336317839,0.0760990362900954,9.158739220462241
9216,0.07666928881690616,0.08417119979858398,9.78476662225618
10240,0.07666902971697283,0.08356084258932817,8.989044073984997
11264,0.0771638483614535,0.08346961889511499,8.17192333918313
12288,0.08614135308699174,0.09332185293498792,8.33571750462847
13312,0.09362056255340576,0.10291385148700916,9.926546775770607
14336,0.09427770181135697,0.10301524212485866,9.267875802684378
15360,0.09476020689363833,0.10312328401364779,8.82551589339229
16384,0.1099185196858532,0.11803787978919777,7.386708014763732
17408,0.11110427154684967,0.11681124002505572,5.136587818587679
18432,0.1175848803388963,0.12250099531034145,4.180907406867451
19456,0.11863712863387349,0.12369288297799917,4.26152790643497
20480,0.1275809580736821,0.13344682015870746,4.597756729211588
21504,0.1353034673952589,0.13963772497679058,3.2033603166060187
22528,0.13622936454473758,0.14023294448852539,2.938852395859959
23552,0.14342623238611701,0.14808079957962036,3.2452690948283625
24576,0.1454074503195406,0.1488208403954139,2.347465737396659
25600,0.15302555084228514,0.15835290321936973,3.4813482766516524
26624,0.15431077154059158,0.15800008058547974,2.3908305350658354
27648,0.16146338431389778,0.16436840815421863,1.7991842873014807
28672,0.16997914785867207,0.17548037064381133,3.2364103800033295
29696,0.17553761909747945,0.1866640843843159,6.338507576918717
30720,0.1780464760092802,0.19261642004314222,8.183225167064023
31744,0.18031771977742514,0.19348892789137992,7.30444469362892
